,date,quality_of_life,age,Euro95(€/L),Diesel(€/L),Lpg(€/L),Open,High,Low,Close,adj_close,Volume,Consumer_trust,Economic_climate,Buy_willingness,annual_rate_of_change,annual_rate_of_change_derived,rolling_mean_AEX,news_sentiment,wind_gust,min_temp,avg_temp,max_temp,sunshine_duration,max_potential_sunshine_duration,precipitation_duration,max_precipitation_amount,max_humidity,min_humidity,stringency_index,icu_patients,daily_hospitalization,reproduction_rate,new_cases,new_deaths,total_cases,total_deaths,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,counts_per_day,sunrise,sunset,daylight_hours,14day_rollling_avg_temp,14day_rollling_hospitalization
0,4/2/2020,8,65,1.486,1.237,0.568,473.980011,482.6600037,468.1199951,478.2799988,478.2799988,175468100,,,,,,478.2799988,-0.572484851,16,0.4,6.2,12,5.9,45,0.3,0.2,95,57,78.7,1249,2807,1.15,1028,166,15741,1340,,,,,1,7.066666667,20.16666667,13.1,6.2,2807
1,4/6/2020,7.29758791,54.37888283,1.476,1.239,0.56,486.2600098,491.6799927,482.6900024,489.8200073,489.8200073,160151500,,,,,,484.0500031,-0.608888149,11,6.4,15,23.6,11.1,83,0,-0.1,98,28,78.7,1409,2912,1.13,789,103,19617,1873,,,,,7340,6.9,20.3,13.4,10.6,2859.5
2,4/7/2020,7.263229879,55.30946137,1.475,1.238,0.556,503.9700012,508.5599976,494.1099854,499.8500061,499.8500061,170193200,,,,,,489.3166707,-0.608770132,8,5.7,11.65,17.6,8.7,65,0,0,99,43,78.7,1424,2713,1.13,972,234,20589,2107,,,,,9914,6.866666667,20.31666667,13.45,10.95,2810.666667
3,4/8/2020,7.343911039,55.43232136,1.473,1.237,0.543,496.1900024,500.7099915,491.4899902,500.7099915,500.7099915,110399400,,,,,,492.1650009,-0.600658417,7,4.7,13.3,21.9,11,82,0,0,94,42,78.7,1408,2864,1.13,1213,147,21802,2254,,,,,7543,6.833333333,20.35,13.51666667,11.5375,2824
4,4/9/2020,7.304743437,55.7329736,1.471,1.238,0.547,506.5499878,511.9299927,499.0499878,508.0400085,508.0400085,164889100,,,,,,495.3400024,-0.608536303,9,2.1,10.15,18.2,11.8,87,0,0,98,43,78.7,1417,2733,1.13,1338,148,23140,2402,,,,,6857,6.783333333,20.38333333,13.6,11.26,2805.8
5,4/10/2020,7.323265306,55.05424339,,,,,,,,,,,,,,,495.3400024,-0.60882467,6,1.9,7.85,13.8,12,88,0,0,97,37,78.7,1384,2675,1.11,1323,117,24463,2519,,,,,4996,6.75,20.41666667,13.66666667,10.69166667,2784
6,4/11/2020,7.293333333,54.46898706,,,,,,,,,,,,,,,495.3400024,-0.592527628,6,2.3,11.05,19.8,12.6,92,0,0,94,29,78.7,1391,2685,1.08,1174,133,25637,2652,,,,,2241,6.716666667,20.45,13.73333333,10.74285714,2769.857143
7,4/12/2020,7.282035176,56.08201701,,,,,,,,,,,,,,,495.3400024,-0.588124514,11,2.7,12,21.3,8.9,65,0,-0.1,90,40,78.7,1358,2532,1.05,964,94,26601,2746,,,,,1646,6.666666667,20.46666667,13.8,10.9,2740.125
8,4/13/2020,7.283950617,56.01986507,,,,,,,,,,,,,,,495.3400024,-0.57731384,15,4.4,6.75,9.1,5.5,40,0,-0.1,77,40,78.7,1338,2415,1,868,86,27469,2832,,,,,2668,6.633333333,20.5,13.86666667,10.43888889,2704
9,4/14/2020,7.283006319,55.52916131,1.471,1.235,0.548,512.1699829,513.539978,505.8200073,507.7399902,507.7399902,136514500,,,,,,497.4066671,-0.565276206,12,-0.1,4.65,9.4,2.4,17,0,-0.1,89,49,78.7,1303,2391,0.96,736,122,28205,2954,,,,,12448,6.6,20.53333333,13.93333333,9.86,2672.7
10,4/15/2020,7.274625606,55.21302345,1.469,1.233,0.552,506.4100037,506.7799988,489.3800049,491.1300049,491.1300049,149716900,,,,,,496.510001,-0.582542956,8,0.1,8.15,16.2,13,93,0,0,97,42,78.7,1279,2355,0.96,1062,189,29267,3143,,,,,14543,6.55,20.56666667,14.01666667,9.704545455,2643.818182
11,4/16/2020,7.286288598,55.78097862,1.469,1.229,0.543,498.5400085,499.519989,492.7600098,496.0799866,496.0799866,148052600,,,,,,496.4562492,-0.588587523,10,-0.3,8.05,16.4,12.4,89,0,0,98,50,78.7,1258,2377,0.97,1239,181,30506,3324,,,,,11976,6.516666667,20.6,14.08333333,9.566666667,2621.583333
12,4/17/2020,7.287292818,56.0458324,1.468,1.228,0.543,509.7600098,511.8900146,504.2200012,505.8200073,505.8200073,156452100,,,,,,497.4966668,-0.593755364,11,0.9,6.6,12.3,12.5,89,0,0,97,54,78.7,1235,2286,0.96,1140,144,31646,3468,,,,,4451,6.483333333,20.61666667,14.13333333,9.338461538,2595.769231
13,4/18/2020,7.363636364,55.47112172,,,,,,,,,,,,,,,497.4966668,-0.590324342,11,1.1,9.95,18.8,12.2,86,0,0,97,40,78.7,1201,2266,0.94,1073,142,32719,3610,,,,,2095,6.45,20.65,14.2,9.382142857,2572.214286
14,4/19/2020,7.351487222,55.59649837,,,,,,,,,,,,,,,499.8987503,-0.605820596,13,4.7,10.6,16.5,13,92,0,0,66,30,78.7,1176,2149,0.9,753,84,33472,3694,,,,,2456,6.4,20.68333333,14.28333333,9.696428571,2525.214286
15,4/20/2020,7.361227787,55.45099747,1.469,1.227,0.542,508.0299988,512.7600098,502.1199951,512.7600098,512.7600098,111512100,,,,,,502.7662506,-0.623813689,15,2.7,10.05,17.4,13.4,94,0,0,68,30,78.7,1158,2165,0.86,729,67,34201,3761,,,,,12632,6.366666667,20.71666667,14.35,9.342857143,2471.857143
